"des","cat"
"Ornamentación Islámica","H"
"Ornamentación Islámica - Ciclos Formativos de Artes Plásticas y Diseño de Grado Medio - LOGSE","H"
"Ortoprotésica","F"
"Ortoprotésica - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Paisajismo y Medio Rural","F"
"Paisajismo y Medio Rural - Ciclos Formativos de Formación Profesional de Grado Superior (LOE)","F"
"Panadería, Repostería y Confitería","F"
"Panadería, Repostería y Confitería - Ciclos Formativos de Formación Profesional de Grado Medio (LOE)","F"
"Panificación y Repostería","F"
"Panificación y Repostería - Ciclos Formativos de Formación Profesional de Grado Medio (LOGSE)","F"
"Pastelería y Panadería","F"
"Pastelería y Panadería - Ciclos Formativos de Formación Profesional de Grado Medio (LOGSE)","F"
"Patronaje","F"
"Patronaje - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Patronaje y Moda","F"
"Patronaje y Moda - Ciclos Formativos de Formación Profesional de Grado Superior (LOE)","F"
"PCPI (Sin especificar familia)","H"
"Pedagogía","H"
"Pedagogía del Acordeón","H"
"Pedagogía del Acordeón - Enseñanzas de Música de Grado Superior - LOGSE","H"
"Pedagogía de la Danza","H"
"Pedagogía de la Danza - Enseñanzas de Danza de Grado Superior - LOGSE","H"
"Pedagogía de la Danza - Estudios Superiores de Danza (LOE)","H"
"Pedagogía de la Guitarra","H"
"Pedagogía de la Guitarra - Enseñanzas de Música de Grado Superior - LOGSE","H"
"Pedagogía de la Percusión","H"
"Pedagogía de la Percusión - Enseñanzas de Música de Grado Superior - LOGSE","H"
"Pedagogía del Canto","H"
"Pedagogía del Canto - Enseñanzas de Música de Grado Superior - LOGSE","H"
"Pedagogía del Clarinete","H"
"Pedagogía del Clarinete - Enseñanzas de Música de Grado Superior - LOGSE","H"
"Pedagogía del Lenguaje y la Educación Musical","H"
"Pedagogía del Lenguaje y la Educación Musical - Enseñanzas de Música de Grado Superior - LOGSE","H"
"Pedagogía del Saxofón","H"
"Pedagogía del Saxofón - Enseñanzas de Música de Grado Superior - LOGSE","H"
"Pedagogía del Violín","H"
"Pedagogía del Violín - Enseñanzas de Música de Grado Superior - LOGSE","H"
"Pedagogía - Estudios Superiores de Música (LOE)","H"
"Peluquería","F"
"Peluquería - Ciclos Formativos de Formación Profesional de Grado Medio (LOGSE)","F"
"Peluquería,y Cosmética Capilar","F"
"Peluquería,y Cosmética Capilar - Ciclos Formativos de Formación Profesional de Grado Medio (LOE)","F"
"Peluquería y estética","F"
"Peluquería y estética - Ciclos Formativos de Formación Profesional Básica","F"
"Percusión","H"
"Percusión - Enseñanzas de Música de Grado Elemental - LOGSE","H"
"Percusión - Enseñanzas de Música de Grado Medio - LOGSE","H"
"Percusión - Enseñanzas de Música de Grado Superior - LOGSE","H"
"Percusión - Música Grado Elemental (LOE)","H"
"Percusión - Música Grado Profesional (LOE)","H"
"Pesca y Transporte Marítimo","F"
"Pesca y Transporte Marítimo - Ciclos Formativos de Formación Profesional de Grado Medio (LOGSE)","F"
"Piano","H"
"Piano - Enseñanzas de Música de Grado Elemental - LOGSE","H"
"Piano - Enseñanzas de Música de Grado Medio - LOGSE","H"
"Piano - Enseñanzas de Música de Grado Superior - LOGSE","H"
"Piano - Música Grado Elemental (LOE)","H"
"Piano - Música Grado Profesional (LOE)","H"
"Pintura","H"
"Pintura sobre vidrio","H"
"Pintura sobre vidrio - Ciclos Formativos de Artes Plásticas y Diseño de Grado Medio - LOGSE","H"
"Planta Química","F"
"Planta Química - Ciclos Formativos de Formación Profesional de Grado Medio (LOE)","F"
"Plásticos y Caucho","F"
"Plásticos y Caucho - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Portugués","I"
"Portugués - Idiomas Nivel C1 (LOE)","I"
"Portugués Nivel Avanzado","I"
"Portugués Nivel Avanzado - Idiomas Nivel Avanzado (LOE)","I"
"Portugués Nivel Básico","I"
"Portugués Nivel Básico - Idiomas Nivel Básico (LOE)","I"
"Portugués Nivel Intermedio","I"
"Portugués Nivel Intermedio - Idiomas Nivel Intermedio (LOE)","I"
"Preimpresión Digital","F"
"Preimpresión Digital - Ciclos Formativos de Formación Profesional de Grado Medio (LOE)","F"
"Preimpresión en Artes Gráficas","F"
"Preimpresión en Artes Gráficas - Ciclos Formativos de Formación Profesional de Grado Medio (LOGSE)","F"
"Preparación para la Prueba de Acceso a la Universidad para Mayores de 25 años","H"
"Preparación para la Prueba de Acceso a la Universidad para mayores de 45 años","H"
"Preparación para la prueba libre de Bachillerato","E"
"Preparación para la prueba libre de los Ciclos Formativos de F.P. de Grado Medio","F"
"Preparación para la prueba libre de los Ciclos Formativos de F.P. de Grado Superior","F"
"Preparación para obtener directamente el título de Graduado en ESO","G"
"Preparación para obtener directamente el título de Graduado en ESO - Educación Secundaria para Personas Adultas (LOE)","G"
"Prevención de Riesgos Profesionales","F"
"Prevención de Riesgos Profesionales - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Procedimientos de Joyería Artística","H"
"Procedimientos de Joyería Artística - Ciclos Formativos de Artes Plásticas y Diseño de Grado Medio - LOGSE","H"
"Procedimientos de Orfebrería y Platería Artísticas","H"
"Procedimientos de Orfebrería y Platería Artísticas - Ciclos Formativos de Artes Plásticas y Diseño de Grado Medio - LOGSE","H"
"Procesos de Ennoblecimiento Textil","F"
"Procesos de Ennoblecimiento Textil - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Procesos Textiles de Hilatura y Tejeduría de Calada","F"
"Procesos Textiles de Hilatura y Tejeduría de Calada - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Procesos Textiles de Tejeduría de Punto","F"
"Procesos Textiles de Tejeduría de Punto - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Procesos y Calidad en la Industria Alimentaria","F"
"Procesos y Calidad en la Industria Alimentaria - Ciclos Formativos de Formación Profesional de Grado Superior (LOE)","F"
"Producción Acuícola","F"
"Producción Acuícola - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Producción Agroecológica","F"
"Producción Agroecológica - Ciclos Formativos de Formación Profesional de Grado Medio (LOE)","F"
"Producción Agropecuaria","F"
"Producción Agropecuaria - Ciclos Formativos de Formación Profesional de Grado Medio (LOE)","F"
"Producción de Audiovisuales, Radio y Espectáculos","F"
"Producción de Audiovisuales, Radio y Espectáculos - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Producción de Audiovisuales y Espectáculos","H"
"Producción de Audiovisuales y Espectáculos  - Ciclos Formativos de Formación Profesional de Grado Superior (LOE)","F"
"Producción de Hilatura y Tejeduría de Calada","F"
"Producción de Hilatura y Tejeduría de Calada - Ciclos Formativos de Formación Profesional de Grado Medio (LOGSE)","F"
"Producción de Madera y Mueble","F"
"Producción de Madera y Mueble - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Producción de Tejidos de Punto","F"
"Producción de Tejidos de Punto - Ciclos Formativos de Formación Profesional de Grado Medio (LOGSE)","F"
"Producción en Industrias de Artes Gráficas","F"
"Producción en Industrias de Artes Gráficas - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Producción por Fundición y Pulvimetalurgia","F"
"Producción por Fundición y Pulvimetalurgia - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Producción por Mecanizado","F"
"Producción por Mecanizado - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Producción y Gestión","H"
"Producción y Gestión - Estudios Superiores de Música (LOE)","H"
"Programación de la Producción en Fabricación Mecánica","F"
"Programación de la Producción en Fabricación Mecánica - Ciclos Formativos de Formación Profesional de Grado Superior (LOE)","F"
"Programación de la Producción en Moldeo de Metales y Polímeros","F"
"Programación de la Producción en Moldeo de Metales y Polímeros - Ciclos Formativos de Formación Profesional de Grado Superior (LOE)","F"
"Promoción de Igualdad de Género","F"
"Promoción de Igualdad de Género - Ciclos Formativos de Formación Profesional de Grado Superior (LOE)","F"
"Prótesis Dentales","F"
"Prótesis Dentales - Ciclos Formativos de Formación Profesional de Grado Superior (LOE)","F"
"Prótesis Dentales - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Proyectos de Edificación","F"
"Proyectos de Edificación - Ciclos Formativos de Formación Profesional de Grado Superior (LOE)","F"
"Proyectos de Obra Civil","F"
"Proyectos de Obra Civil - Ciclos Formativos de Formación Profesional de Grado Superior (LOE)","F"
"Proyectos y Dirección de Obras de Decoración","H"
"Proyectos y Dirección de Obras de Decoración - Ciclos Formativos de Artes Plásticas y Diseño de Grado Superior - LOGSE","H"
"Prueba de acceso a Ciclos Formativos de F.P. de Grado Medio (LOE)","F"
"Prueba de acceso a Ciclos Formativos de F.P. de Grado Superior (LOE)","F"
"Química Ambiental","F"
"Química Ambiental - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Química Industrial","F"
"Química Industrial - Ciclos Formativos de Formación Profesional de Grado Superior (LOE)","F"
"Radioterapia","F"
"Radioterapia - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Realización de Audiovisuales y Espectáculos","F"
"Realización de Audiovisuales y Espectáculos - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Realización de Proyectos de Audiovisuales y Espectáculos","F"
"Realización de Proyectos de Audiovisuales y Espectáculos - Ciclos Formativos de Formación Profesional de Grado Superior (LOE)","F"
"Realización y Planes de Obra","F"
"Realización y Planes de Obra - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Recubrimientos cerámicos","H"
"Recubrimientos cerámicos - Ciclos Formativos de Artes Plásticas y Diseño. Grado Superior (LOE)","H"
"Reforma y mantenimiento de edificios","F"
"Reforma y mantenimiento de edificios - Ciclos Formativos de Formación Profesional Básica","F"
"Restauración","F"
"Restauración - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Revestimientos Murales","H"
"Revestimientos Murales - Ciclos Formativos de Artes Plásticas y Diseño de Grado Medio - LOGSE","H"
"Rumano Nivel Básico","I"
"Rumano Nivel Básico - Idiomas Nivel Básico (LOE)","I"
"Rumano  Nivel Intermedio","I"
"Rumano  Nivel Intermedio - Idiomas Nivel Intermedio (LOE)","I"
"Ruso","I"
"Ruso - Idiomas Nivel C1 (LOE)","I"
"Ruso Nivel Avanzado","I"
"Ruso Nivel Avanzado - Idiomas Nivel Avanzado (LOE)","I"
"Ruso Nivel Básico","I"
"Ruso Nivel Básico - Idiomas Nivel Básico (LOE)","I"
"Ruso  Nivel Intermedio","I"
"Ruso  Nivel Intermedio - Idiomas Nivel Intermedio (LOE)","I"
"Salud Ambiental","F"
"Salud Ambiental - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Salvamento y Socorrismo","H"
"Salvamento y Socorrismo - Enseñanzas Deportivas de Grado Medio (LOE)","H"
"Salvamento y Socorrismo - Enseñanzas Deportivas de Grado Superior (LOE)","H"
"Saxofón","H"
"Saxofón - Enseñanzas de Música de Grado Elemental - LOGSE","H"
"Saxofón - Enseñanzas de Música de Grado Medio - LOGSE","H"
"Saxofón - Enseñanzas de Música de Grado Superior - LOGSE","H"
"Saxofón - Música Grado Elemental (LOE)","H"
"Saxofón - Música Grado Profesional (LOE)","H"
"Secretariado","F"
"Secretariado - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Serigrafía Artística","H"
"Serigrafía Artística - Ciclos Formativos de Artes Plásticas y Diseño de Grado Medio - LOGSE","H"
"Servicios administrativos","F"
"Servicios administrativos - Ciclos Formativos de Formación Profesional Básica","F"
"Servicios al Consumidor","F"
"Servicios al Consumidor - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Servicios comerciales","F"
"Servicios comerciales - Ciclos Formativos de Formación Profesional Básica","F"
"Servicios de Restaurante y Bar","F"
"Servicios de Restaurante y Bar - Ciclos Formativos de Formación Profesional de Grado Medio (LOGSE)","F"
"Servicios en Restauración","F"
"Servicios en Restauración - Ciclos Formativos de Formación Profesional de Grado Medio (LOE)","F"
"Sistemas de Regulación y Control Automáticos","F"
"Sistemas de Regulación y Control Automáticos - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Sistemas de Telecomunicación e Informáticos","F"
"Sistemas de Telecomunicación e Informáticos - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Sistemas de Telecomunicaciones e Informáticos","F"
"Sistemas de Telecomunicaciones e Informáticos - Ciclos Formativos de Formación Profesional de Grado Superior (LOE)","F"
"Sistemas Electrotécnicos y Automatizados","F"
"Sistemas Electrotécnicos y Automatizados - Ciclos Formativos de Formación Profesional de Grado Superior (LOE)","F"
"Sistemas Microinformáticos y Redes","F"
"Sistemas Microinformáticos y Redes - Ciclos Formativos de Formación Profesional de Grado Medio (LOE)","F"
"Snowboard","H"
"Snowboard - Enseñanzas Deportivas de Grado Medio (LOGSE)","H"
"Snowboard - Enseñanzas Deportivas de Grado Superior (LOGSE)","H"
"Soldadura y Calderería","F"
"Soldadura y Calderería - Ciclos Formativos de Formación Profesional de Grado Medio (LOE)","F"
"Soldadura y Calderería - Ciclos Formativos de Formación Profesional de Grado Medio (LOGSE)","F"
"Sombrerería","H"
"Sombrerería - Ciclos Formativos de Artes Plásticas y Diseño de Grado Medio - LOGSE","H"
"Sonido","F"
"Sonido - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Sonido para Audiovisuales y Espectáculos","F"
"Sonido para Audiovisuales y Espectáculos - Ciclos Formativos de Formación Profesional de Grado Superior (LOE)","F"
"Sonología","H"
"Sonología - Estudios Superiores de Música (LOE)","H"
"Sueco Nivel Básico","I"
"Sueco Nivel Básico - Idiomas Nivel Básico (LOE)","I"
"Sueco  Nivel Intermedio","I"
"Sueco  Nivel Intermedio - Idiomas Nivel Intermedio (LOE)","I"
"Supervisión y Control de Máquinas Marinas e Instalaciones del Buque","F"
"Supervisión y Control de Máquinas Marinas e Instalaciones del Buque - Ciclos Formativos de Formación Profesional de Grado Superior (LOGSE)","F"
"Talla Artística en Madera","H"
"Talla Artística en Madera - Ciclos Formativos de Artes Plásticas y Diseño de Grado Medio - LOGSE","H"
"Talla Artística en Piedra","H"
"Talla Artística en Piedra - Ciclos Formativos de Artes Plásticas y Diseño de Grado Medio - LOGSE","H"
"Tapicería y cortinaje","F"
"Tapicería y cortinaje - Ciclos Formativos de Formación Profesional Básica","F"
"Tapices y Alfombras","H"
"Tapices y Alfombras - Ciclos Formativos de Artes Plásticas y Diseño de Grado Medio - LOGSE","H"
"Tejeduría en Bajo Lizo","H"
"Tejeduría en Bajo Lizo - Ciclos Formativos de Artes Plásticas y Diseño de Grado Medio - LOGSE","H"
"Tenora","H"
"Tenora - Enseñanzas de Música de Grado Medio - LOGSE","H"
"Tenora - Música Grado Profesional (LOE)","H"
"Textiles","H"
"Tible","H"
"Tible - Enseñanzas de Música de Grado Medio - LOGSE","H"
"Tible - Música Grado Profesional (LOE)","H"
"Trabajos Forestales y de Conservación del Medio Natural","F"
"Trabajos Forestales y de Conservación del Medio Natural - Ciclos Formativos de Formación Profesional de Grado Medio (LOGSE)","F"
"Transformación de Madera y Corcho","F"
"Transformación de Madera y Corcho - Ciclos Formativos de Formación Profesional de Grado Medio (LOGSE)","F"
"Transporte Marítimo y Pesca de Altura","F"
"Transporte Marítimo y Pesca de Altura - Ciclos Formativos de Formación Profesional de Grado Superior (LOE)","F"
"Transporte y Logística","F"
"Transporte y Logística - Ciclos Formativos de Formación Profesional de Grado Superior (LOE)","F"
"Tratamientos Superficiales y Térmicos","F"
"Tratamientos Superficiales y Térmicos - Ciclos Formativos de Formación Profesional de Grado Medio (LOGSE)","F"
"Trombón","H"
"Trombón - Enseñanzas de Música de Grado Elemental - LOGSE","H"
"Trombón - Enseñanzas de Música de Grado Medio - LOGSE","H"
"Trombón - Enseñanzas de Música de Grado Superior - LOGSE","H"
"Trombón - Música Grado Elemental (LOE)","H"
"Trombón - Música Grado Profesional (LOE)","H"
"Trompa","H"
"Trompa - Enseñanzas de Música de Grado Elemental - LOGSE","H"
"Trompa - Enseñanzas de Música de Grado Medio - LOGSE","H"
"Trompa - Enseñanzas de Música de Grado Superior - LOGSE","H"
"Trompa - Música Grado Elemental (LOE)","H"
"Trompa - Música Grado Profesional (LOE)","H"
"Trompeta","H"
"Trompeta - Enseñanzas de Música de Grado Elemental - LOGSE","H"
"Trompeta - Enseñanzas de Música de Grado Medio - LOGSE","H"
"Trompeta - Enseñanzas de Música de Grado Superior - LOGSE","H"
"Trompeta - Música Grado Elemental (LOE)","H"
"Trompeta - Música Grado Profesional (LOE)","H"
"Tuba","H"
"Tuba - Enseñanzas de Música de Grado Elemental - LOGSE","H"
"Tuba - Enseñanzas de Música de Grado Medio - LOGSE","H"
"Tuba - Enseñanzas de Música de Grado Superior - LOGSE","H"
"Tuba - Música Grado Elemental (LOE)","H"
"Tuba - Música Grado Profesional (LOE)","H"
"Txistu","H"
"Txistu - Enseñanzas de Música de Grado Elemental - LOGSE","H"
"Txistu - Enseñanzas de Música de Grado Medio - LOGSE","H"
"Txistu - Música Grado Elemental (LOE)","H"
"Txistu - Música Grado Profesional (LOE)","H"
"Vaciado y Moldeado Artísticos","H"
"Vaciado y Moldeado Artísticos - Ciclos Formativos de Artes Plásticas y Diseño de Grado Medio - LOGSE","H"
"Valenciano Nivel Avanzado","I"
"Valenciano Nivel Avanzado - Idiomas Nivel Avanzado (LOE)","I"
"Valenciano Nivel Básico","I"
"Valenciano Nivel Básico - Idiomas Nivel Básico (LOE)","I"
"Valenciano  Nivel Intermedio","I"
"Valenciano  Nivel Intermedio - Idiomas Nivel Intermedio (LOE)","I"
"Vela con aparejo fijo","H"
"Vela con aparejo fijo - Enseñanzas Deportivas de Grado Medio (LOE)","H"
"Vela con aparejo fijo - Enseñanzas Deportivas de Grado Superior (LOE)","H"
"Vela con aparejo libre","H"
"Vela con aparejo libre - Enseñanzas Deportivas de Grado Medio (LOE)","H"
"Vela con aparejo libre - Enseñanzas Deportivas de Grado Superior (LOE)","H"
"Vestuario a Medida y de Espectáculos","H"
"Vestuario a Medida y de Espectáculos  - Ciclos Formativos de Formación Profesional de Grado Superior (LOE)","F"
"Vídeo Disc-jockey y Sonido","H"
"Vídeo Disc-jockey y Sonido - Ciclos Formativos de Formación Profesional de Grado Medio (LOE)","F"
"Vidrieras Artísticas","H"
"Vidrieras Artísticas - Ciclos Formativos de Artes Plásticas y Diseño de Grado Superior - LOGSE","H"
"Vidriería y alfarería","F"
"Vidriería y alfarería - Ciclos Formativos de Formación Profesional Básica","F"
"Vidrio","H"
"Vidrio - Estudios Superiores de Artes Plásticas y Diseño - LOGSE","H"
"Viola","H"
"Viola da gamba","H"
"Viola da Gamba","H"
"Viola da Gamba - Enseñanzas de Música de Grado Medio - LOGSE","H"
"Viola da Gamba - Enseñanzas de Música de Grado Superior - LOGSE","H"
"Viola da Gamba - Música Grado Elemental (LOE)","H"
"Viola da gamba - Música Grado Profesional (LOE)","H"
"Viola - Enseñanzas de Música de Grado Elemental - LOGSE","H"
"Viola - Enseñanzas de Música de Grado Medio - LOGSE","H"
"Viola - Enseñanzas de Música de Grado Superior - LOGSE","H"
"Viola - Música Grado Elemental (LOE)","H"
"Viola - Música Grado Profesional (LOE)","H"
"Violín","H"
"Violín - Enseñanzas de Música de Grado Elemental - LOGSE","H"
"Violín - Enseñanzas de Música de Grado Medio - LOGSE","H"
"Violín - Enseñanzas de Música de Grado Superior - LOGSE","H"
"Violín - Música Grado Elemental (LOE)","H"
"Violín - Música Grado Profesional (LOE)","H"
"Violoncello","H"
"Violoncello - Enseñanzas de Música de Grado Elemental - LOGSE","H"
"Violoncello - Enseñanzas de Música de Grado Medio - LOGSE","H"
"Violoncello - Enseñanzas de Música de Grado Superior - LOGSE","H"
"Violonchello","H"
"Violonchello - Música Grado Profesional (LOE)","H"
"Violonchelo","H"
"Violonchelo - Música Grado Elemental (LOE)","H"
"Vitivinicultura","F"
"Vitivinicultura - Ciclos Formativos de Formación Profesional de Grado Superior (LOE)","F"
